Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
A01,24104,24065,3117,3078,1397.24205311193,7.08774416547277,0.881053254555631,0.978665286970279,0.997867669543275
A02,21371,21339,3117,3085,1461.16534561674,7.17915431259076,0.892416137545968,0.985201671485175,0.997990743297155
A03,24164,24156,2047,2039,1014.62641162539,6.40177651346734,0.839672988485687,0.92480807451034,0.994840596513133
A04,20773,20759,2744,2730,1330.80713354104,6.958004700773,0.87884975981018,0.967257264979057,0.997350459892905
A05,6077,6076,1401,1400,1157.07404952937,6.68378948219488,0.922545674032962,0.947564699323698,0.997727019729716
A06,26552,26530,3021,2999,1361.01957965016,7.06058395669194,0.881103404268547,0.978463738829585,0.997928709260304
A07,27229,27210,3115,3096,1367.0612938679,7.04029658846179,0.875225039115678,0.975053789312498,0.997431438315142
A08,29003,28993,2011,2001,953.885914541819,6.25386639882209,0.822186154656134,0.911570034073743,0.993627307854682
A09,25902,25886,2863,2847,1262.40920828782,6.80705526082287,0.855197952152719,0.953265313831499,0.995838939643859
A10,20660,20648,2689,2677,1304.26968477806,6.82158008284425,0.863827423936359,0.950955122590313,0.995701277025628
A11,19963,19952,2210,2199,1158.95088452027,6.72946689553457,0.87387187259016,0.953821250218347,0.997061088586193
A12,23011,22998,2199,2186,1100.61559258934,6.61401080410034,0.859435914203373,0.94436964692311,0.996546058813171
A13,6074,6073,1103,1102,916.68552059544,6.26790947935602,0.894675740609712,0.918945304034033,0.996003358425755
A14,22378,22372,1962,1956,995.313704531702,6.38987639774363,0.842800406905843,0.925658806139307,0.995114275739116
A15,26008,25992,2419,2403,1151.15500724471,6.70111037041846,0.860097058229358,0.950711546788821,0.996564972176651
A16,27517,27493,3022,2998,1298.83310899994,6.91615025988736,0.863043609787038,0.964700313571977,0.996930480512809
B01,28128,28114,2814,2800,1254.73150432563,6.87761705952954,0.86594099509914,0.963970361600077,0.997084436894043
B02,20138,20122,2447,2431,1225.1073310074,6.76572052863909,0.867109023359516,0.951473252394182,0.996276684027494
B03,12717,12713,1171,1167,775.630971483291,5.87555994412962,0.831571109509149,0.883054598577002,0.990408106835672
B04,17563,17553,2508,2498,1317.47047131119,6.94898203031228,0.887794577621361,0.967357436704986,0.997651840041001
B05,6189,6185,1383,1379,1137.11627670244,6.60905381476012,0.913861224149934,0.939286282584201,0.996816888886591
B06,14298,14289,1957,1948,1179.33446609045,6.7076967489873,0.885017561009644,0.948391913792051,0.996641899017342
B07,12780,12772,1933,1925,1188.95326072389,6.69883012953625,0.88528901480229,0.94605172939911,0.996727256251821
B08,20694,20683,2506,2495,1247.27756663968,6.80769633966568,0.869832722456626,0.954967759157908,0.996747775361105
B09,25852,25805,2588,2541,1158.79936429281,6.73516595200212,0.857039562839011,0.954646714576442,0.997057495470054
B10,20177,20171,1925,1919,1010.64910396145,6.4364450286204,0.851079771663037,0.93034420263885,0.995758779289583
B11,12914,12906,1660,1652,1049.4151073996,6.42767413165782,0.866897424101791,0.924049021227635,0.995292981777283
B12,21218,21204,2264,2250,1144.85349468174,6.70129461286116,0.867494031208091,0.951478660773666,0.996986140872589
B13,5275,5271,1314,1310,1143.75797871368,6.59719532567568,0.918723075756671,0.936825538984109,0.996634001931673
B14,16004,15997,1965,1958,1120.07438868332,6.46777939615895,0.852903637317723,0.921185139984366,0.994084567460984
B15,24281,24270,2682,2671,1230.93296941899,6.81911422605123,0.863800289132617,0.9583427315368,0.99696529297204
B16,23731,23719,2733,2721,1328.09248235284,7.00587045179321,0.885344756570897,0.974187785193055,0.997810014543975
C01,24282,24267,2679,2664,1210.1350120304,6.59949997249721,0.836099543616081,0.929705129400428,0.992626798611904
C02,21421,21411,2279,2269,1153.70222929404,6.7184258721745,0.868968867426999,0.952869356363766,0.996978081999661
C03,16243,16228,2486,2471,1349.66513739719,6.98145641555582,0.892948606383981,0.968622702610768,0.997693274633879
C04,19992,19979,2102,2089,1095.71175441546,6.61586405402727,0.864745971342338,0.945236941000199,0.996674329996104
C05,5637,5625,1406,1394,1185.71073029518,6.72034540640582,0.927135494345931,0.949456441877999,0.997718544592894
C06,21522,21513,2407,2398,1202.8287635399,6.76068196883803,0.868297392790484,0.953224870463777,0.996926954221008
C07,22593,22585,2277,2269,1113.14806871397,6.61519981639317,0.85571466378498,0.94301488804274,0.996498130589925
C08,22394,22375,2804,2785,1327.28976815609,6.98294469775199,0.879596755212703,0.971081528211297,0.997722025993691
C09,24648,24621,3067,3040,1345.01307056323,6.90892586938288,0.860554830058034,0.959019069388691,0.995166484840076
C10,17292,17281,2520,2509,1303.0979972622,6.90955941405669,0.882219982601047,0.963340484191504,0.997380644625852
C11,17379,17364,2299,2284,1248.91717882811,6.89257307097437,0.890486909842025,0.966695925014805,0.997725842411606
C12,19095,19082,2488,2475,1252.19638116535,6.74231848291341,0.862273477371667,0.945274803896635,0.995625524477227
C13,5928,5924,1334,1330,1107.81126305577,6.57386026663883,0.913551641675255,0.937764274063141,0.997161734789585
C14,22076,22068,2080,2072,1045.00868835778,6.46913447234887,0.846731698707237,0.93057231773638,0.995780262757318
