Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
A01,24104,24028,3117,3041,1746.93786468238,7.08774416547277,0.881053254555631,0.949384566829292,0.997867669543275
A02,21371,21310,3117,3056,1826.45650338289,7.17915431259076,0.892416137545968,0.955929047092544,0.997990743297155
A03,24164,24143,2047,2026,1237.60385258362,6.40177651346734,0.839672988485687,0.899008183605035,0.994840596513133
A04,20773,20730,2744,2701,1649.08320946911,6.958004700773,0.87884975981018,0.939258691568523,0.997350459892905
A05,6077,6071,1401,1395,1346.06936665524,6.68378948219488,0.922545674032962,0.927667090974762,0.997727019729716
A06,26552,26509,3021,2978,1691.44818328347,7.06058395669194,0.881103404268547,0.949853446807201,0.997928709260304
A07,27229,27175,3115,3061,1705.65118066243,7.04029658846179,0.875225039115678,0.946059968608397,0.997431438315142
A08,29003,28972,2011,1980,1158.91118521556,6.25386639882209,0.822186154656134,0.886414885736953,0.993627307854682
A09,25902,25848,2863,2809,1574.31784584572,6.80705526082287,0.855197952152719,0.924673469152292,0.995838939643859
A10,20660,20617,2689,2646,1622.53203136047,6.82158008284425,0.863827423936359,0.922864865183457,0.995701277025628
A11,19963,19942,2210,2189,1415.34690480148,6.72946689553457,0.87387187259016,0.927546019014111,0.997061088586193
A12,23011,22979,2199,2167,1342.71004074654,6.61401080410034,0.859435914203373,0.918300737736464,0.996546058813171
A13,6074,6069,1103,1098,1059.27778590314,6.26790947935602,0.894675740609712,0.899870949722366,0.996003358425755
A14,22378,22356,1962,1940,1211.04390462735,6.38987639774363,0.842800406905843,0.900079191565282,0.995114275739116
A15,26008,25964,2419,2375,1410.03903049088,6.70111037041846,0.860097058229358,0.924116119905493,0.996564972176651
A16,27517,27463,3022,2968,1623.28996328977,6.91615025988736,0.863043609787038,0.935599781803321,0.996930480512809
B01,28128,28086,2814,2772,1555.55950843459,6.87761705952954,0.86594099509914,0.935782339408444,0.997084436894043
B02,20138,20092,2447,2401,1511.95658920329,6.76572052863909,0.867109023359516,0.924132333050133,0.996276684027494
B03,12717,12707,1171,1161,915.675220531393,5.87555994412962,0.831571109509149,0.861561785458393,0.990408106835672
B04,17563,17515,2508,2460,1623.50748376474,6.94898203031228,0.887794577621361,0.940024144060025,0.997651840041001
B05,6189,6178,1383,1372,1321.76766283338,6.60905381476012,0.913861224149934,0.919619656696705,0.996816888886591
B06,14298,14268,1957,1927,1427.92097337941,6.7076967489873,0.885017561009644,0.923419606086134,0.996641899017342
B07,12780,12758,1933,1911,1439.58770621032,6.69883012953625,0.88528901480229,0.921167068929464,0.996727256251821
B08,20694,20651,2506,2463,1542.71892962858,6.80769633966568,0.869832722456626,0.927314615148784,0.996747775361105
B09,25852,25783,2588,2519,1435.20282996274,6.73516595200212,0.857039562839011,0.926552346016974,0.997057495470054
B10,20177,20156,1925,1904,1225.94639285752,6.4364450286204,0.851079771663037,0.905079608790529,0.995758779289583
B11,12914,12886,1660,1632,1259.46122544506,6.42767413165782,0.866897424101791,0.900431292169469,0.995292981777283
B12,21218,21191,2264,2237,1401.50682400454,6.70129461286116,0.867494031208091,0.924915685540157,0.996986140872589
B13,5275,5266,1314,1305,1314,6.59719532567568,0.918723075756671,0.918723075756671,0.996634001931673
B14,16004,15987,1965,1948,1366.32184032515,6.46777939615895,0.852903637317723,0.895829505203158,0.994084567460984
B15,24281,24237,2682,2638,1526.19939383416,6.81911422605123,0.863800289132617,0.930234071442767,0.99696529297204
B16,23731,23698,2733,2700,1634.94644586589,7.00587045179321,0.885344756570897,0.946820455709624,0.997810014543975
C01,24282,24239,2679,2636,1510.15486688109,6.59949997249721,0.836099543616081,0.90157503918722,0.992626798611904
