sampleID,project,turfID,rep,day,dna.rna,pairedSampleID,bottleID,site,temperature,precipitation,precip.level,temp.level,turf.treat,turf.treat.group,turf.origSite,origSite.precipLevel,origSite.tempLevel,exp.moisture.level,exp.temp,colour,transcol
A01,Turfs,242 TT2 268,A,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Warmer,Transplant,Skjellingahaugen,4,1,NA,NA,1,red
A02,Turfs,252 TT2 550,B,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Warmer,Transplant,Skjellingahaugen,4,1,NA,NA,1,red
A03,Turfs,88 TT2 114,A,NA,DNA,NA,NA,Hogsete,9.167493369,1356.20674,2,2,Warmer,Transplant,Lavisdalen,2,1,NA,NA,2,red
A04,Turfs,262 TT1 265,A,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Control,Control,Veskre,4,2,NA,NA,1,black
A05,Turfs,206 TT3 546,A,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Wetter,Transplant,Rambera,3,2,NA,NA,1,green
A06,Turfs,247 TT2D 264,C,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Warmer,Transplant,Skjellingahaugen,4,1,NA,NA,1,red
A07,Turfs,196 TT3 282,B,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Wetter,Transplant,Rambera,3,2,NA,NA,1,green
A08,Turfs,109 TT1 106,A,NA,DNA,NA,NA,Hogsete,9.167493369,1356.20674,2,2,Control,Control,Hogsete,2,2,NA,NA,2,black
A09,Turfs,267 TT1 548,B,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Control,Control,Veskre,4,2,NA,NA,1,black
A10,Turfs,284 TT1 285,C,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Control,Control,Veskre,4,2,NA,NA,1,black
A11,Turfs,96 TT2 122,B,NA,DNA,NA,NA,Hogsete,9.167493369,1356.20674,2,2,Warmer,Transplant,Lavisdalen,2,1,NA,NA,2,red
A12,Turfs,113 TT1 111,B,NA,DNA,NA,NA,Hogsete,9.167493369,1356.20674,2,2,Control,Control,Hogsete,2,2,NA,NA,2,black
A13,Turfs,122 TT1 125,C,NA,DNA,NA,NA,Hogsete,9.167493369,1356.20674,2,2,Control,Control,Hogsete,2,2,NA,NA,2,black
A14,Turfs,32 TT3 109,A,NA,DNA,NA,NA,Hogsete,9.167493369,1356.20674,2,2,Wetter,Transplant,Alrust,1,2,NA,NA,2,green
A15,Turfs,39 TT3 113,B,NA,DNA,NA,NA,Hogsete,9.167493369,1356.20674,2,2,Wetter,Transplant,Alrust,1,2,NA,NA,2,green
A16,Turfs,201 TT3D 269,C,NA,DNA,NA,NA,Veskre,8.666920677,3028.689529,4,2,Wetter,Transplant,Rambera,3,2,NA,NA,1,green
B01,Turfs,1 TT2 28,A,NA,DNA,NA,NA,Alrust,9.139258359,788.6471205,1,2,Warmer,Transplant,Ulvhaugen,1,1,NA,NA,3,red
B02,Turfs,28 TT1 30,A,NA,DNA,NA,NA,Alrust,9.139258359,788.6471205,1,2,Control,Control,Alrust,1,2,NA,NA,3,black
B03,Turfs,84 TT2 108,C,NA,DNA,NA,NA,Hogsete,9.167493369,1356.20674,2,2,Warmer,Transplant,Lavisdalen,2,1,NA,NA,2,red
B04,Turfs,12 TT3 98,A,NA,DNA,NA,NA,Lavisdalen,6.454522029,1320.501902,2,1,Wetter,Transplant,Ulvhaugen,1,1,NA,NA,4,green
B05,Turfs,18 TT1 19,A,NA,DNA,NA,NA,Ulvhaugen,6.16847806,596.3477788,1,1,Control,Control,Ulvhaugen,1,1,NA,NA,5,black
B06,Turfs,49 TT1 47,B,NA,DNA,NA,NA,Alrust,9.139258359,788.6471205,1,2,Control,Control,Alrust,1,2,NA,NA,3,black
B07,Turfs,24 TT2 49,B,NA,DNA,NA,NA,Alrust,9.139258359,788.6471205,1,2,Warmer,Transplant,Ulvhaugen,1,1,NA,NA,3,red
B08,Turfs,83 TT1 81,A,NA,DNA,NA,NA,Lavisdalen,6.454522029,1320.501902,2,1,Control,Control,Lavisdalen,2,1,NA,NA,4,black
B09,Turfs,16 TT2 42,C,NA,DNA,NA,NA,Alrust,9.139258359,788.6471205,1,2,Warmer,Transplant,Ulvhaugen,1,1,NA,NA,3,red
B10,Turfs,98 TT1 97,B,NA,DNA,NA,NA,Lavisdalen,6.454522029,1320.501902,2,1,Control,Control,Lavisdalen,2,1,NA,NA,4,black
B11,Turfs,3 TT1 1,B,NA,DNA,NA,NA,Ulvhaugen,6.16847806,596.3477788,1,1,Control,Control,Ulvhaugen,1,1,NA,NA,5,black
